Parts;Zone;Année;Limite
1;Métropole;2017;10708
1,25;Métropole;2017;12138
1,5;Métropole;2017;13567
1,75;Métropole;2017;14997
2;Métropole;2017;16426
2,25;Métropole;2017;17856
2,5;Métropole;2017;19285
2,75;Métropole;2017;20715
3;Métropole;2017;22144
0,5;Métropole;2017;2859
1;Guadeloupe Martinique Réunion;2017;12671
1,25;Guadeloupe Martinique Réunion;2017;14185
1,5;Guadeloupe Martinique Réunion;2017;15698
1,75;Guadeloupe Martinique Réunion;2017;17128
2;Guadeloupe Martinique Réunion;2017;18557
2,25;Guadeloupe Martinique Réunion;2017;19987
2,5;Guadeloupe Martinique Réunion;2017;21416
2,75;Guadeloupe Martinique Réunion;2017;22846
3;Guadeloupe Martinique Réunion;2017;24275
0,5;Guadeloupe Martinique Réunion;2017;2859
1;Guyane;2017;13248
1,25;Guyane;2017;15072
1,5;Guyane;2017;16895
1,75;Guyane;2017;18325
2;Guyane;2017;19754
2,25;Guyane;2017;21184
2,5;Guyane;2017;22613
2,75;Guyane;2017;24043
3;Guyane;2017;25472
0,5;Guyane;2017;2859
1;Mayotte;2017;19853
1,25;Mayotte;2017;22585
1,5;Mayotte;2017;25316
1,75;Mayotte;2017;27458
2;Mayotte;2017;29599
2,25;Mayotte;2017;31741
2,5;Mayotte;2017;33882
2,75;Mayotte;2017;36024
3;Mayotte;2017;38165
0,5;Mayotte;2017;4283
