Parts;Zone;Annee;Seuil
1;Métropole;2017;25180
1,25;Métropole;2017;28122
1,5;Métropole;2017;31063
1,75;Métropole;2017;33379
2;Métropole;2017;35694
2,25;Métropole;2017;38010
2,5;Métropole;2017;40325
2,75;Métropole;2017;42641
3;Métropole;2017;44956
0,5;Métropole;2017;4631
1;Guadeloupe Martinique Réunion;2017;30431
1,25;Guadeloupe Martinique Réunion;2017;33659
1,5;Guadeloupe Martinique Réunion;2017;36886
1,75;Guadeloupe Martinique Réunion;2017;39964
2;Guadeloupe Martinique Réunion;2017;43041
2,25;Guadeloupe Martinique Réunion;2017;45357
2,5;Guadeloupe Martinique Réunion;2017;47672
2,75;Guadeloupe Martinique Réunion;2017;49988
3;Guadeloupe Martinique Réunion;2017;52303
0,5;Guadeloupe Martinique Réunion;2017;4631
1;Guyane;2017;33349
1,25;Guyane;2017;36577
1,5;Guyane;2017;39804
1,75;Guyane;2017;43032
2;Guyane;2017;46259
2,25;Guyane;2017;49007
2,5;Guyane;2017;51755
2,75;Guyane;2017;54071
3;Guyane;2017;56386
0,5;Guyane;2017;4631
1;Mayotte;2017;36648
1,25;Mayotte;2017;40195
1,5;Mayotte;2017;43742
1,75;Mayotte;2017;47289
2;Mayotte;2017;50836
2,25;Mayotte;2017;53856
2,5;Mayotte;2017;56876
2,75;Mayotte;2017;59420
3;Mayotte;2017;61964
0,5;Mayotte;2017;5088
